_EST_NORM,n,codigos,ejemplos
INSTITUTO GUILLERMO PUTZEYS ALVAREZ,11,"['00-01-0402-46', '00-01-0534-46', '00-01-0564-46', '00-01-0638-46', '00-01-0688-46', '00-01-0724-46', '00-01-0734-46', '00-01-0844-46', '00-01-2385-46', '00-01-2461-46']",['INSTITUTO GUILLERMO PUTZEYS ALVAREZ']
INSTITUTO MUNICIPAL DE EDUCACION DIVERSIFICADA,11,"['02-03-0128-46', '02-05-0017-46', '02-06-0013-46', '03-01-0119-46', '05-02-0052-46', '05-02-2859-46', '05-07-0046-46', '05-13-3074-46', '20-07-2085-46', '21-03-0032-46']",['INSTITUTO MUNICIPAL DE EDUCACION DIVERSIFICADA']
CENTRO EDUCATIVO JOSE MILLA Y VIDAURRE,11,"['01-15-0019-46', '01-15-0052-46', '01-15-0184-46', '01-15-0210-46', '01-15-0222-46', '01-15-0327-46', '01-15-0458-46', '01-15-0681-46', '01-15-2077-46', '01-15-8132-46']",['CENTRO EDUCATIVO JOSE MILLA Y VIDAURRE']
COLEGIO MIXTO CENTROAMERICANO,11,"['08-02-0043-46', '09-20-0004-46', '09-20-0047-46', '11-01-0170-46', '11-01-0171-46', '11-01-0346-46', '11-01-1492-46']",['COLEGIO MIXTO CENTROAMERICANO']
COLEGIO EVANGELICO MIXTO LA PATRIA,11,"['00-02-0012-46', '00-02-0031-46', '00-02-0032-46', '00-02-0077-46', '00-02-0094-46', '00-02-0121-46', '00-02-0122-46', '00-02-0123-46', '00-02-0131-46', '00-02-0315-46']",['COLEGIO EVANGELICO MIXTO LA PATRIA']
INSTITUTO TECNICO INDUSTRIAL ALBERT EINSTEIN,11,"['20-11-0001-46', '20-11-0002-46', '20-11-0003-46', '20-11-0055-46', '21-01-0344-46', '21-01-0389-46', '21-01-0415-46', '21-01-0823-46', '21-06-1339-46', '21-07-0080-46']",['INSTITUTO TECNICO INDUSTRIAL ALBERT EINSTEIN']
COLEGIO MIXTO CIENCIA Y ARTE,10,"['00-12-0033-46', '00-12-0109-46', '00-12-0125-46', '00-12-0127-46', '00-12-0151-46', '00-12-0158-46', '00-12-0907-46', '00-12-0911-46', '00-12-2790-46', '00-12-7772-46']",['COLEGIO MIXTO CIENCIA Y ARTE']
COLEGIO MIXTO COTZUMALGUAPA,10,"['05-02-0043-46', '05-02-0044-46', '05-02-0220-46', '05-02-0221-46', '05-02-1878-46', '05-02-2313-46', '05-02-2649-46', '05-02-2650-46', '05-02-2710-46', '05-02-2971-46']",['COLEGIO MIXTO COTZUMALGUAPA']
COLEGIO MIXTO TECNOLOGICO ZAPOTITLAN,10,"['11-04-0023-46', '11-04-0024-46', '11-04-0025-46', '11-04-0027-46', '11-04-0037-46']",['COLEGIO MIXTO TECNOLOGICO ZAPOTITLAN']
LICEO TECNICO DE VILLA NUEVA,10,"['01-15-0185-46', '01-15-0456-46', '01-15-0645-46', '01-15-0646-46', '01-15-0667-46', '01-15-6671-46', '01-15-6701-46', '01-15-9157-46', '01-15-9550-46', '01-15-9551-46']",['LICEO TECNICO DE VILLA NUEVA']
LICEO TECNOLOGICO DE OCCIDENTE LA PREPARATORIA,10,"['14-01-0110-46', '14-01-0193-46', '14-01-0227-46', '14-01-0235-46', '14-01-5679-46']",['LICEO TECNOLOGICO DE OCCIDENTE LA PREPARATORIA']
