_EST_NORM,n,codigos,ejemplos
INSTITUTO PRIVADO MIXTO MALACATECO,9,"['12-15-0100-46', '12-15-0127-46', '12-15-0128-46', '12-15-0146-46', '12-15-0192-46', '12-15-0735-46', '12-15-4163-46', '12-15-4877-46', '12-15-4916-46']",['INSTITUTO PRIVADO MIXTO MALACATECO']
COLEGIO PRIVADO MIXTO BENDICION DEL SABER,9,"['05-06-0034-46', '05-06-0035-46', '05-06-0050-46', '05-06-0051-46', '05-06-0066-46', '05-06-0083-46', '05-06-0099-46', '05-06-0113-46', '05-06-0136-46']",['COLEGIO PRIVADO MIXTO BENDICION DEL SABER']
COLEGIO PRIVADO MIXTO SUPERACION,9,"['09-01-0515-46', '09-01-3577-46', '10-02-0452-46', '10-21-0085-46', '10-21-0087-46', '10-21-0092-46', '10-21-0093-46', '10-21-0097-46', '12-11-5431-46']",['COLEGIO PRIVADO MIXTO SUPERACION']
COLEGIO PRIVADO MIXTO LICEO MAZATECO,9,"['10-01-0078-46', '10-01-0180-46', '10-01-0302-46', '10-01-0306-46', '10-01-0312-46', '10-01-0386-46', '10-01-1956-46', '10-01-1957-46', '10-08-0030-46']",['COLEGIO PRIVADO MIXTO LICEO MAZATECO']
COLEGIO PARTICULAR MIXTO SANTA MARIA,9,"['05-09-0046-46', '05-09-0065-46', '05-09-0073-46', '05-09-0075-46', '05-09-0110-46', '05-09-0663-46', '05-09-0730-46', '05-09-3012-46', '06-10-1256-46']",['COLEGIO PARTICULAR MIXTO SANTA MARIA']
LICEO TECNICO QUEZALTEPEQUE,9,"['20-09-0040-46', '20-09-0041-46', '20-09-0045-46', '20-09-0063-46', '20-09-0068-46', '20-09-0071-46', '20-09-1525-46', '20-09-1555-46', '20-09-2363-46']",['LICEO TECNICO QUEZALTEPEQUE']
LICEO TECNICO INDUSTRIAL MAYA TIKAL,9,"['01-15-0453-46', '01-15-0455-46', '01-15-0482-46', '01-15-0483-46', '01-15-0497-46', '01-15-8958-46', '01-15-8959-46', '01-15-9333-46', '01-15-9336-46']",['LICEO TECNICO INDUSTRIAL MAYA TIKAL']
COLEGIO LATINOAMERICANO GOSPEL,9,"['10-01-0086-46', '10-01-0089-46', '10-01-0106-46', '10-01-0251-46', '10-01-0274-46', '10-01-0301-46', '10-01-0333-46', '10-01-0334-46', '10-01-0380-46']",['COLEGIO LATINOAMERICANO GOSPEL']
COLEGIO PARTICULAR LICEO MINERVA,9,"['12-02-0172-46', '12-02-0173-46', '12-02-0186-46', '12-02-0187-46', '12-02-0188-46', '12-02-0189-46', '12-02-0200-46', '12-02-3695-46', '12-02-4737-46']",['COLEGIO PARTICULAR LICEO MINERVA']
LICEO PREUNIVERSITARIO DEL SUR,9,"['05-02-0082-46', '05-02-0108-46', '05-02-0110-46', '05-02-0241-46', '05-02-0242-46', '05-02-0244-46', '05-02-2044-46', '05-02-2572-46', '05-02-2651-46']",['LICEO PREUNIVERSITARIO DEL SUR']
COLEGIO PARTICULAR MIXTO NUEVO AMANECER,9,"['15-02-0117-46', '15-02-0118-46', '15-02-0119-46', '15-02-0120-46', '15-02-0138-46', '15-04-0230-46', '15-04-0238-46', '15-04-0670-46', '22-12-0059-46']",['COLEGIO PARTICULAR MIXTO NUEVO AMANECER']
COLEGIO PARTICULAR MIXTO MIGUEL ANGEL ASTURIAS,9,"['06-11-0470-46', '11-07-0219-46', '18-01-0359-46', '18-01-0442-46', '18-01-0710-46', '18-01-1025-46', '18-01-1134-46', '18-01-2928-46']",['COLEGIO PARTICULAR MIXTO MIGUEL ANGEL ASTURIAS']
INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADA,9,"['01-14-0183-46', '01-15-0292-46', '01-15-0295-46', '01-15-0712-46', '01-15-0716-46', '01-15-0718-46', '01-15-0722-46', '01-15-0724-46', '05-13-0120-46']",['INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADA']
COLEGIO MIXTO SAN JOSE,8,"['00-07-9059-46', '06-02-0088-46', '06-02-0093-46', '06-02-0099-46', '06-02-1242-46', '06-02-1941-46', '19-05-0732-46']",['COLEGIO MIXTO SAN JOSE']
COLEGIO MIXTO RETALHULEU,8,"['11-01-0080-46', '11-01-0200-46', '11-01-0201-46', '11-01-0478-46']",['COLEGIO MIXTO RETALHULEU']
COLEGIO MIXTO TECNOLOGICO SAN AGUSTIN,8,"['11-01-0252-46', '11-01-0253-46', '11-01-0400-46', '11-01-0486-46']",['COLEGIO MIXTO TECNOLOGICO SAN AGUSTIN']
COLEGIO MIXTO PRIVADO SAN JOSE,8,"['09-01-0157-46', '09-01-0483-46', '09-01-0489-46', '09-01-0490-46', '09-01-0491-46', '09-01-3655-46', '09-01-3660-46', '09-01-3879-46']",['COLEGIO MIXTO PRIVADO SAN JOSE']
COLEGIO MIXTO CIENCIA Y DESARROLLO CHICAMAN,8,"['14-19-0084-46', '14-19-0085-46', '14-19-0099-46', '14-19-0112-46']",['COLEGIO MIXTO CIENCIA Y DESARROLLO CHICAMAN']
COLEGIO MIXTO CRISTIANO JESHUA,8,"['11-09-0048-46', '11-09-0050-46', '11-09-0069-46', '11-09-0093-46']",['COLEGIO MIXTO CRISTIANO JESHUA']
COLEGIO MIXTO CIENCIAS TECNOLOGICAS,8,"['16-03-0076-46', '16-03-0077-46', '16-03-0082-46', '16-03-0083-46', '16-03-0097-46', '16-03-0108-46', '16-03-0109-46', '16-03-0243-46']",['COLEGIO MIXTO CIENCIAS TECNOLOGICAS']
LICEO TECNOLOGICO DOCTOR JUAN JOSE AREVALO BERMEJO,8,"['14-20-0143-46', '14-20-0154-46', '14-20-0178-46', '14-20-5814-46']",['LICEO TECNOLOGICO DOCTOR JUAN JOSE AREVALO BERMEJO']
COLEGIO MIXTO EN COMPUTACION LA MERCED,8,"['11-01-0304-46', '11-01-0306-46', '11-01-0308-46', '11-01-0525-46']",['COLEGIO MIXTO EN COMPUTACION LA MERCED']
COLEGIO MIXTO LICEO RETALTECO,8,"['11-01-0197-46', '11-01-0199-46', '11-01-0232-46', '11-01-0498-46']",['COLEGIO MIXTO LICEO RETALTECO']
COLEGIO MIXTO MARIO MONTEFORTE TOLEDO,8,"['11-01-0452-46', '11-01-0453-46', '11-01-0529-46', '11-01-1407-46']",['COLEGIO MIXTO MARIO MONTEFORTE TOLEDO']
COLEGIO MIXTO MARTA MARIA,8,"['01-15-0194-46', '01-15-0195-46', '01-15-0198-46', '01-15-0199-46', '01-15-0687-46', '01-15-7132-46', '01-15-7133-46', '01-15-9008-46']",['COLEGIO MIXTO MARTA MARIA']
CENTRO DE EDUCACION EXTRAESCOLAR CEEX FUNCAFE,8,"['20-01-0255-46', '20-02-0012-46', '20-03-0035-46', '20-04-0137-46', '20-06-0042-46', '20-07-0143-46', '20-09-0069-46', '20-10-0020-46']",['CENTRO DE EDUCACION EXTRAESCOLAR CEEX FUNCAFE']
COLEGIO PARTICULAR MIXTO MUNDO JUVENIL,8,"['18-02-0276-46', '18-02-0280-46', '18-02-0281-46', '18-02-0314-46', '18-02-0351-46', '18-02-0382-46', '18-02-0383-46', '18-02-0417-46']",['COLEGIO PARTICULAR MIXTO MUNDO JUVENIL']
COLEGIO PRE UNIVERSITARIO FRIEDRICH VON HAYEK,8,"['09-01-0497-46', '09-01-3556-46', '09-01-3558-46', '09-01-3612-46', '09-01-3659-46', '09-01-3816-46', '09-01-3817-46', '09-01-4103-46']",['COLEGIO PRE UNIVERSITARIO FRIEDRICH VON HAYEK']
COLEGIO PREUNIVERSITARIO SAN PABLO,8,"['05-09-0081-46', '05-09-0082-46', '05-09-0083-46', '05-09-0084-46', '05-09-0085-46', '05-09-0086-46', '05-09-0087-46', '05-09-0088-46']",['COLEGIO PREUNIVERSITARIO SAN PABLO']
COLEGIO PANAMERICANO,8,"['00-01-7337-46', '00-01-8796-46', '00-01-9419-46', '00-17-0023-46', '00-17-0028-46', '00-17-9767-46', '00-17-9769-46', '00-17-9771-46']",['COLEGIO PANAMERICANO']
COLEGIO EN COMPUTACION SAN JOSE NO 1,8,"['00-01-0288-46', '00-01-0289-46', '00-01-0292-46', '00-01-0293-46', '01-08-0434-46', '01-08-0437-46', '01-08-0439-46', '01-08-0772-46']",['COLEGIO EN COMPUTACION SAN JOSE NO 1']
COLEGIO PARTICULAR MIXTO LA FAMILIA,8,"['12-13-0055-46', '12-13-0056-46', '12-13-0057-46', '12-13-0068-46', '12-13-0071-46', '12-13-0072-46', '12-13-0083-46', '12-13-0090-46']",['COLEGIO PARTICULAR MIXTO LA FAMILIA']
COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACION Y CAPACITACION MIGUEL ANGEL ASTURIAS,8,"['11-01-0316-46', '11-01-0318-46', '11-01-0320-46', '11-01-0496-46']",['COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACION Y CAPACITACION MIGUEL ANGEL ASTURIAS']
COLEGIO TECNOLOGICO EN INFORMATICA MILJU NET,8,"['05-06-0039-46', '05-06-0057-46', '05-06-0070-46', '05-06-0094-46', '05-06-0107-46', '05-06-0108-46', '05-06-0109-46', '05-06-0140-46']",['COLEGIO TECNOLOGICO EN INFORMATICA MILJU NET']
COLEGIO TECNOLOGICO CABALLO BLANCO,8,"['11-01-0168-46', '11-01-0240-46', '11-01-0241-46', '11-01-0472-46']",['COLEGIO TECNOLOGICO CABALLO BLANCO']
COLEGIO CIENTIFICO GALILEO,8,"['12-12-0069-46', '12-12-0070-46', '12-12-0078-46', '12-12-0082-46', '12-12-0083-46', '12-12-0084-46', '12-12-0085-46', '12-12-0090-46']",['COLEGIO CIENTIFICO GALILEO']
CENTRO DE ESTUDIOS AVANZADOS NO J CEAN,8,"['14-01-0260-46', '14-06-0070-46', '14-06-0071-46', '14-06-5701-46']",['CENTRO DE ESTUDIOS AVANZADOS NO J CEAN']
COLEGIO PRIVADO MIXTO GENESIS,8,"['13-02-6384-46', '13-19-0055-46', '13-19-0057-46', '13-19-0058-46', '13-19-0061-46', '13-19-0062-46', '13-19-0064-46', '13-32-0024-46']",['COLEGIO PRIVADO MIXTO GENESIS']
COLEGIO PRIVADO MIXTO EL PARAISO,8,"['13-15-0055-46', '13-25-0039-46', '13-25-0041-46', '13-25-0042-46', '13-25-0046-46', '13-25-0057-46', '13-25-0059-46', '13-25-0073-46']",['COLEGIO PRIVADO MIXTO EL PARAISO']
COLEGIO PRIVADO MIXTO SAN SEBASTIAN,8,"['11-02-0043-46', '11-02-0044-46', '11-02-0045-46', '11-02-0061-46']",['COLEGIO PRIVADO MIXTO SAN SEBASTIAN']
COLEGIO CRISTIANO EL VALLE DEL SUR,8,"['11-05-0044-46', '11-05-0045-46', '11-05-1437-46', '11-05-1438-46']",['COLEGIO CRISTIANO EL VALLE DEL SUR']
LICEO PARTICULAR MIXTO JIREH,8,"['19-09-0034-46', '19-09-0037-46', '19-09-0040-46', '19-09-0048-46']",['LICEO PARTICULAR MIXTO JIREH']
INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS,8,"['09-01-0232-46', '09-01-0234-46', '09-01-0520-46', '12-02-0123-46', '12-02-0125-46', '12-02-0127-46', '12-02-0129-46', '13-01-7110-46']",['INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS']
COLEGIO BILINGUE ESPECIALIZADO EN COMPUTACION YULIMAY PC,8,"['00-01-0593-46', '00-01-0789-46', '00-01-8030-46', '00-01-8031-46', '00-01-8033-46', '00-01-8035-46', '00-01-8215-46', '00-01-8216-46']",['COLEGIO BILINGUE ESPECIALIZADO EN COMPUTACION YULIMAY PC']
COLEGIO CLASICO GUATEMALTECO,8,"['00-06-0064-46', '00-06-0065-46', '00-06-0069-46', '00-06-0087-46', '01-17-7406-46', '01-17-7409-46', '01-17-7589-46', '01-17-8206-46']",['COLEGIO CLASICO GUATEMALTECO']
COLEGIO PRIVADO URBANO MIXTO BILINGUE PARAISO,8,"['11-01-0404-46', '11-01-0406-46', '11-01-0515-46', '11-01-1287-46']",['COLEGIO PRIVADO URBANO MIXTO BILINGUE PARAISO']
COLEGIO CRISTIANO BELEN,8,"['11-01-0409-46', '11-01-0411-46', '11-01-0441-46', '11-01-0490-46']",['COLEGIO CRISTIANO BELEN']
COLEGIO TECNOLOGICO JAN KOMENSKY,8,"['11-01-0376-46', '11-01-0378-46', '11-01-0458-46', '11-01-0521-46']",['COLEGIO TECNOLOGICO JAN KOMENSKY']
LICEO PRIVADO SANTA MARIA,8,"['14-12-0122-46', '14-12-0125-46', '14-12-0136-46', '14-12-0955-46']",['LICEO PRIVADO SANTA MARIA']
COLEGIO ADVENTISTA MARANATHA,8,"['08-01-0237-46', '08-01-0238-46', '08-01-0241-46', '12-18-0022-46', '12-18-0023-46', '12-30-0051-46', '12-30-0052-46', '12-30-0085-46']",['COLEGIO ADVENTISTA MARANATHA']
INSTITUTO MUNICIPAL DE EDUCACION BASICA Y DIVERSIFICADO,8,"['05-03-0024-46', '05-05-0023-46', '05-05-0024-46', '05-05-0025-46', '05-05-0032-46', '05-05-0035-46', '05-07-0071-46', '05-07-0083-46']",['INSTITUTO MUNICIPAL DE EDUCACION BASICA Y DIVERSIFICADO']
INSTITUTO MIXTO MIGUEL DE CERVANTES,8,"['00-01-0202-46', '00-01-0841-46', '00-01-6978-46', '00-01-9381-46', '05-08-0066-46', '05-08-2839-46', '05-08-2857-46', '05-08-3043-46']",['INSTITUTO MIXTO MIGUEL DE CERVANTES']
LICEO PETENERO EN CIENCIAS ADMINISTRATIVAS RECURSOS NATURALES Y TURISMO,8,"['17-01-0058-46', '17-01-0085-46', '17-01-0086-46', '17-01-3564-46', '17-01-3568-46', '17-01-3569-46', '17-03-3833-46', '17-03-3834-46']",['LICEO PETENERO EN CIENCIAS ADMINISTRATIVAS RECURSOS NATURALES Y TURISMO']
CENTRO PEDAGOGICO GUATEMALA,8,"['05-13-0072-46', '05-13-0073-46', '05-13-0074-46', '05-13-0097-46', '05-13-0114-46', '05-13-2546-46', '05-13-2547-46', '05-13-2791-46']",['CENTRO PEDAGOGICO GUATEMALA']
LICEO NAZARENO,8,"['00-12-0064-46', '00-12-0114-46', '00-12-0115-46', '00-12-0116-46', '00-12-0164-46', '00-12-0165-46', '00-12-0166-46', '00-12-7313-46']",['LICEO NAZARENO']
INSTITUTO PRIVADO MIXTO CIENCIA Y CULTURA,8,"['14-01-0181-46', '14-01-0242-46', '14-01-0269-46', '14-01-1137-46']",['INSTITUTO PRIVADO MIXTO CIENCIA Y CULTURA']
INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA ICI,8,"['01-14-0013-46', '01-14-0014-46', '01-14-0018-46', '10-14-0051-46', '10-14-0075-46', '10-14-2294-46', '10-14-2295-46', '10-14-2296-46']",['INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA ICI']
INSTITUTO TECNICO DE EDUCACION INDUSTRIAL,8,"['19-01-0148-46', '19-01-0175-46', '19-01-0177-46', '19-01-0332-46']",['INSTITUTO TECNICO DE EDUCACION INDUSTRIAL']
INSTITUTO PRIVADO TECNICO INDUSTRIAL QUICHE,8,"['14-01-0249-46', '14-01-0255-46', '14-01-0279-46', '14-01-3544-46']",['INSTITUTO PRIVADO TECNICO INDUSTRIAL QUICHE']
INSTITUTO PRIVADO TECNICO INDUSTRIAL RETALTECO,8,"['11-02-0027-46', '11-02-0028-46', '11-02-0037-46', '11-02-0871-46']",['INSTITUTO PRIVADO TECNICO INDUSTRIAL RETALTECO']
INSTITUTO SAN CARLOS,8,"['12-01-0091-46', '12-01-0092-46', '12-11-0014-46', '12-11-0015-46', '12-11-0017-46', '12-11-0018-46', '12-11-0019-46', '12-11-0044-46']",['INSTITUTO SAN CARLOS']
INSTITUTO PRACTICO MODERNO,8,"['00-01-0615-46', '00-01-8623-46', '00-02-0055-46', '00-02-0058-46', '00-02-0069-46', '00-02-0078-46', '00-02-0083-46', '00-02-0115-46']",['INSTITUTO PRACTICO MODERNO']
INSTITUTO PARTICULAR MIXTO PEDRO MOLINA,8,"['09-20-0063-46', '09-20-0084-46', '09-20-0086-46', '09-20-0104-46', '09-20-0137-46', '09-20-0659-46', '09-20-0660-46', '09-20-0661-46']",['INSTITUTO PARTICULAR MIXTO PEDRO MOLINA']
INSTITUTO TECNICO PRIVADO VOCACIONAL,8,"['19-01-0184-46', '19-01-0202-46', '19-01-0213-46', '19-01-0304-46']",['INSTITUTO TECNICO PRIVADO VOCACIONAL']
INSTITUTO TECNICO INDUSTRIAL,8,"['03-12-1112-46', '04-01-0059-46', '04-01-3076-46', '04-01-3253-46', '04-01-3254-46', '10-09-2494-46', '11-09-0874-46']",['INSTITUTO TECNICO INDUSTRIAL']
CENTRO EDUCATIVO INTEGRAL GLO A MIEL,8,"['03-04-0071-46', '05-02-0050-46', '05-02-0051-46', '05-02-0074-46', '05-02-0076-46', '05-02-0104-46', '05-02-0125-46', '05-02-0259-46']",['CENTRO EDUCATIVO INTEGRAL GLO A MIEL']
INSTITUTO TECNOLOGICO PRIVADO URBANO MIXTO FERDINAND LASSALLE,8,"['10-01-0234-46', '10-01-2340-46', '12-02-0148-46', '12-02-0150-46', '12-02-0151-46', '12-02-0202-46', '12-02-1084-46', '12-02-4528-46']",['INSTITUTO TECNOLOGICO PRIVADO URBANO MIXTO FERDINAND LASSALLE']
INSTITUTO TECNOLOGICO PRIVADO DE SANTA ROSA CRISTO VIVE,8,"['06-02-0080-46', '06-02-0081-46', '06-02-0083-46', '06-02-0084-46', '06-02-0085-46', '06-02-0095-46', '06-02-0102-46', '06-02-1998-46']",['INSTITUTO TECNOLOGICO PRIVADO DE SANTA ROSA CRISTO VIVE']
INSTITUTO TECNOLOGICO CIENTIFICO INDUSTRIAL DE SUCHITEPEQUEZ,8,"['10-02-0052-46', '10-02-0053-46', '10-02-0054-46', '10-02-0056-46', '10-02-0057-46', '10-02-0059-46', '10-02-0074-46', '10-02-2325-46']",['INSTITUTO TECNOLOGICO CIENTIFICO INDUSTRIAL DE SUCHITEPEQUEZ']
LICEO CENTROAMERICANO,8,"['00-16-0004-46', '01-11-0034-46', '01-11-0050-46', '01-11-0056-46', '01-11-9116-46', '01-11-9474-46', '01-16-7986-46', '01-16-7987-46']",['LICEO CENTROAMERICANO']
CENTRO EDUCATIVO DE ESTUDIOS INTEGRADOS SAN SEBASTIAN CEEDISS,8,"['11-02-0011-46', '11-02-0013-46', '11-02-0038-46', '11-02-0039-46']",['CENTRO EDUCATIVO DE ESTUDIOS INTEGRADOS SAN SEBASTIAN CEEDISS']
LICEO DE CIENCIA Y TECNOLOGIA JOHN DALTON,8,"['14-21-0018-46', '14-21-0019-46', '14-21-0020-46', '14-21-0021-46']",['LICEO DE CIENCIA Y TECNOLOGIA JOHN DALTON']
CENTRO EDUCATIVO CRISTIANO CON ORIENTACION UNIVERSITARIA EL SHADDAI,8,"['17-03-0001-46', '17-03-0002-46', '17-03-0079-46', '17-03-0089-46', '17-03-0128-46', '17-03-3992-46', '17-03-4111-46', '17-03-4112-46']",['CENTRO EDUCATIVO CRISTIANO CON ORIENTACION UNIVERSITARIA EL SHADDAI']
INSTITUTO PRIVADO MIXTO ESFUERZO,7,"['13-12-0075-46', '13-12-0086-46', '13-12-0097-46', '13-12-0111-46', '13-12-0124-46', '13-12-0126-46', '13-12-0133-46']",['INSTITUTO PRIVADO MIXTO ESFUERZO']
CENTRO EDUCATIVO SAN JOSE,7,"['00-18-8866-46', '01-08-0428-46', '01-08-0600-46', '01-08-0822-46', '01-14-7364-46', '01-14-7367-46', '01-14-8053-46']",['CENTRO EDUCATIVO SAN JOSE']
INSTITUTO PRIVADO MIXTO NOCTURNO DE CIENCIAS COMERCIALES,7,"['17-05-2230-46', '20-09-0059-46', '20-09-0060-46', '20-09-0073-46', '20-09-0408-46', '20-09-2271-46', '20-09-2362-46']",['INSTITUTO PRIVADO MIXTO NOCTURNO DE CIENCIAS COMERCIALES']
INSTITUTO PRIVADO MIXTO SAN CARLOS,7,"['12-01-0082-46', '12-01-0089-46', '12-01-0096-46', '12-01-0105-46', '12-01-0132-46', '12-01-0190-46', '12-01-3610-46']",['INSTITUTO PRIVADO MIXTO SAN CARLOS']
CENTRO EDUCATIVO BILINGUE VALPARAISO DE JESUS,7,"['17-11-0010-46', '17-11-0079-46', '17-11-0080-46', '17-11-0087-46', '17-11-3898-46', '17-11-3899-46', '17-11-4154-46']",['CENTRO EDUCATIVO BILINGUE VALPARAISO DE JESUS']
LICEO FUENTE DE VIDA,7,"['00-02-0052-46', '05-01-0289-46', '05-01-0290-46', '05-01-0403-46', '05-01-0438-46', '05-12-0026-46', '05-12-0027-46']",['LICEO FUENTE DE VIDA']
COLEGIO IMB PC,7,"['00-12-0131-46', '00-12-0156-46', '00-12-9753-46', '00-12-9758-46', '00-12-9759-46', '01-08-0308-46', '01-08-0560-46']",['COLEGIO IMB PC']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA TIERRA NUEVA I,7,"['00-01-0653-46', '01-06-0132-46', '01-06-0133-46', '01-06-0134-46', '01-06-0136-46', '01-06-0164-46', '01-06-0165-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA TIERRA NUEVA I']
COLEGIO EVANGELICO PRIVADO MIXTO BETHESDA,7,"['12-10-0069-46', '12-10-0082-46', '12-10-0085-46', '12-10-0086-46', '12-10-4713-46', '12-10-4904-46', '12-10-4919-46']",['COLEGIO EVANGELICO PRIVADO MIXTO BETHESDA']
INSTITUTO PRIVADO SUPERACION,7,"['00-01-0553-46', '00-01-2474-46', '00-01-7099-46', '00-01-7127-46', '00-01-7129-46', '00-03-8148-46', '00-03-8151-46']",['INSTITUTO PRIVADO SUPERACION']
CENTRO INTEGRAL EDUCATIVO SAN FRANCISCO,7,"['00-19-0029-46', '00-19-0031-46', '01-08-0545-46', '01-08-0550-46', '01-08-0552-46', '01-08-0618-46', '01-08-0763-46']",['CENTRO INTEGRAL EDUCATIVO SAN FRANCISCO']
LICEO MONTECARLO,7,"['00-01-0851-46', '00-01-8521-46', '00-01-8523-46', '00-01-8526-46', '00-01-8533-46', '00-01-8535-46', '00-01-9846-46']",['LICEO MONTECARLO']
LICEO MIXTO MONTE HOREB,7,"['01-03-0197-46', '01-13-0036-46', '01-13-0081-46', '01-13-0082-46', '01-13-0118-46', '01-13-0138-46', '01-13-0139-46']",['LICEO MIXTO MONTE HOREB']
LICEO DE COMPUTACION SIGLO 21 NO 3,7,"['00-01-0692-46', '00-01-0795-46', '00-01-0856-46', '00-01-7080-46', '00-01-7721-46', '00-01-9694-46', '00-01-9836-46']",['LICEO DE COMPUTACION SIGLO 21 NO 3']
COLEGIO DE ESTUDIOS SUPERIORES INTEGRALES,7,"['10-01-0205-46', '10-01-0206-46', '10-01-0346-46', '10-01-0347-46', '10-01-0401-46', '10-01-1951-46', '10-01-2685-46']",['COLEGIO DE ESTUDIOS SUPERIORES INTEGRALES']
LICEO CRISTIANO NAZARETH,7,"['05-13-0059-46', '05-13-0069-46', '05-13-0070-46', '05-13-0079-46', '05-13-0086-46', '05-13-0106-46', '05-13-0571-46']",['LICEO CRISTIANO NAZARETH']
INSTITUTO TECNOLOGICO DOCTOR THEO BLOEM,7,"['01-08-0128-46', '01-08-0129-46', '01-08-0130-46', '01-08-0601-46', '01-08-0637-46', '01-08-0638-46', '01-08-0818-46']",['INSTITUTO TECNOLOGICO DOCTOR THEO BLOEM']
CENTRO EDUCATIVO JOSE MARTI,7,"['05-10-0019-46', '05-10-0020-46', '05-10-0021-46', '05-10-0022-46', '05-10-0025-46', '05-10-0032-46', '05-10-0033-46']",['CENTRO EDUCATIVO JOSE MARTI']
COLEGIO VALLE DEL QUETZAL II,7,"['01-06-0104-46', '01-06-0108-46', '01-06-0109-46', '01-06-0170-46', '01-08-0248-46', '01-08-0251-46', '01-08-8639-46']",['COLEGIO VALLE DEL QUETZAL II']
COLEGIO DE INFORMATICA CENINFAV,7,"['16-01-0471-46', '16-01-0665-46', '16-01-0666-46', '16-01-0910-46', '16-01-8335-46', '16-01-8337-46', '16-01-9851-46']",['COLEGIO DE INFORMATICA CENINFAV']
LICEO MIXTO EN COMPUTACION ROTTERDAM,7,"['00-07-0042-46', '00-07-0118-46', '00-07-0207-46', '00-07-0210-46', '00-07-0256-46', '00-07-8516-46', '00-07-8518-46']",['LICEO MIXTO EN COMPUTACION ROTTERDAM']
CENTRO EDUCATIVO EL PROGRESO,7,"['01-03-0052-46', '01-03-0053-46', '01-03-0129-46', '01-03-0130-46', '01-03-0132-46', '01-03-0133-46', '01-03-0177-46']",['CENTRO EDUCATIVO EL PROGRESO']
COLEGIO PRIVADO MIXTO EL DIVINO MAESTRO,7,"['13-01-0199-46', '13-01-0200-46', '13-01-0243-46', '13-01-0400-46', '17-05-3659-46', '17-05-4181-46', '17-13-0104-46']",['COLEGIO PRIVADO MIXTO EL DIVINO MAESTRO']
COLEGIO TECNICO DE COMPUTACION C T S,7,"['06-08-0077-46', '06-08-0089-46', '06-08-0471-46', '06-08-1162-46', '06-08-1828-46', '06-08-2040-46', '22-15-2160-46']",['COLEGIO TECNICO DE COMPUTACION C T S']
COLEGIO TECNICO INTEGRADO,7,"['00-01-8665-46', '00-01-8667-46', '00-01-8668-46', '00-01-8669-46', '00-01-8670-46', '00-01-8671-46', '06-02-0022-46']",['COLEGIO TECNICO INTEGRADO']
INED,7,"['09-17-0078-46', '10-21-0079-46', '13-26-0182-46', '17-08-0124-46', '18-04-0397-46', '18-04-0464-46', '18-04-0525-46']",['INED']
CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO C E T A CH,7,"['04-01-0134-46', '04-01-0199-46', '04-01-0351-46', '04-01-2294-46', '04-01-2295-46', '04-01-2827-46', '04-01-3018-46']",['CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO C E T A CH']
INSTITUTO TECNICO INDUSTRIAL PRIVADO DE TIQUISATE,7,"['05-06-0030-46', '05-06-0031-46', '05-06-0078-46', '05-06-0086-46', '05-06-0089-46', '05-06-0097-46', '05-06-0144-46']",['INSTITUTO TECNICO INDUSTRIAL PRIVADO DE TIQUISATE']
COLEGIO PARTICULAR MIXTO BLAISE PASCAL,7,"['16-04-0041-46', '16-04-0046-46', '16-04-0047-46', '16-04-0120-46', '16-04-0128-46', '16-04-1233-46', '16-04-1235-46']",['COLEGIO PARTICULAR MIXTO BLAISE PASCAL']
LICEO EN CIENCIA Y TECNOLOGIA DE OCCIDENTE,7,"['04-01-0203-46', '04-01-0303-46', '04-01-0339-46', '04-01-2835-46', '04-01-2836-46', '04-01-2839-46', '04-01-2840-46']",['LICEO EN CIENCIA Y TECNOLOGIA DE OCCIDENTE']
LICEO MIXTO CRISTIANO PIAGET,7,"['00-12-0011-46', '00-12-4626-46', '00-12-9638-46', '01-15-0491-46', '01-15-0493-46', '01-15-0736-46', '01-15-7065-46']",['LICEO MIXTO CRISTIANO PIAGET']
LICEO PREUNIVERSITARIO DR NELSON MANDELA,7,"['00-18-0180-46', '00-18-0182-46', '00-18-0183-46', '00-18-0241-46', '00-25-0008-46', '00-25-0009-46', '00-25-0010-46']",['LICEO PREUNIVERSITARIO DR NELSON MANDELA']
INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,7,"['11-01-0126-46', '11-01-0127-46', '11-01-0142-46', '11-01-0143-46', '11-01-0159-46', '11-01-0511-46']",['INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU']
LICEO SAN RAFAEL,7,"['06-05-0018-46', '06-05-0021-46', '06-05-0028-46', '06-05-0030-46', '15-01-0156-46', '15-01-0157-46', '15-01-0160-46']",['LICEO SAN RAFAEL']
